occurrence_id,keyword,keyword_romanization,subject,book_slug,book_title,reader_page,occurrence_on_page,char_position_in_page,left_context,keyword_in_context,right_context,context_compact,source_file,source_url
1,民族,minzu,history,gaozhong-benguoshi,高中本国史,8,1,360,政府之軍財狀況(附南方兵事圖國民黨改組前後狀況表總理遺囑綱要表三民主義簡明表)第十三章五卅慘案與中國,民族,運動之進展一四,政府之軍財狀況(附南方兵事圖國民黨改組前後狀況表總理遺囑綱要表三民主義簡明表)第十三章五卅慘案與中國民族運動之進展一四,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
2,民族,minzu,history,gaozhong-benguoshi,高中本国史,11,1,47,三民主義之確定哲學與社會科學自然科學與藝術(附三民主義教育綱要表)二三第六編結論二三第一章我國,民族,發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史,三民主義之確定哲學與社會科學自然科學與藝術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
3,民族,minzu,history,gaozhong-benguoshi,高中本国史,11,2,56,定哲學與社會科學自然科學與藝術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古,民族,之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民,定哲學與社會科學自然科學與藝術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
4,民族,minzu,history,gaozhong-benguoshi,高中本国史,11,3,63,學自然科學與藝術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古,民族,之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(,學自然科學與藝術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
5,民族,minzu,history,gaozhong-benguoshi,高中本国史,11,4,70,術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世,民族,之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(附現代史大事表,術(附三民主義教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(附現代史大事表,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
6,民族,minzu,history,gaozhong-benguoshi,高中本国史,11,5,77,教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代,民族,之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(附現代史大事表)史國本中高,教育綱要表)二三第六編結論二三第一章我國民族發展之囘顧上古民族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(附現代史大事表)史國本中高,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
7,民族,minzu,history,gaozhong-benguoshi,高中本国史,11,6,107,族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國,民族,今日之責任(附現代史大事表)史國本中高,族之發展中古民族之發展近世民族之發展現代民族之發展第二章中國對世界之使命三五我國歷史之光榮及現狀我國民族今日之責任(附現代史大事表)史國本中高,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
8,民族,minzu,history,gaozhong-benguoshi,高中本国史,83,1,121,",德宗承。國阽危欲圖治。不如願后所制宣統興,革命起,不數月,共和始。十二傳三百載。滿淸倒,帝制改。五",民族,五色旗。南北一長光輝。史國本中高,",德宗承。國阽危欲圖治。不如願后所制宣統興,革命起,不數月,共和始。十二傳三百載。滿淸倒,帝制改。五民族五色旗。南北一長光輝。史國本中高",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
9,民族,minzu,history,gaozhong-benguoshi,高中本国史,84,1,48,民國成立以後一第五編現代史約公元一九二年起至現在第一章革命思想之勃興與孫中山先生革命滿|淸以少數,民族,"入主中|國,最多數之漢|族,受其控制者垂三百餘年。中葉以還,思想之淸|政腐敗,統治力薄弱,內亂屢起。","民國成立以後一第五編現代史約公元一九二年起至現在第一章革命思想之勃興與孫中山先生革命滿|淸以少數民族入主中|國,最多數之漢|族,受其控制者垂三百餘年。中葉以還,思想之淸|政腐敗,統治力薄弱,內亂屢起。",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
10,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,1,9,"淸復明爲宗旨,饒有",民族,"革命意味。徒以無鮮明之主義與賢能之領⋮袖,故其後不免流於強梁劫殺,爲世詬病。眞正之革命運動,實自三民","淸復明爲宗旨,饒有民族革命意味。徒以無鮮明之主義與賢能之領⋮袖,故其後不免流於強梁劫殺,爲世詬病。眞正之革命運動,實自三民",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
11,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,2,420,"同時發明三民主義。其故因淸室不振,帝國主義中山主義之者利用其軍事的、政治的、經濟的優越之勢力,向弱小",民族,"壓迫侵略,致陷我國偉大於次殖民地之厄運,無法自拔。先知先覺之中|山先生乃應運而生,提倡三民主義以救中","同時發明三民主義。其故因淸室不振,帝國主義中山主義之者利用其軍事的、政治的、經濟的優越之勢力,向弱小民族壓迫侵略,致陷我國偉大於次殖民地之厄運,無法自拔。先知先覺之中|山先生乃應運而生,提倡三民主義以救中",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
12,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,3,489,"厄運,無法自拔。先知先覺之中|山先生乃應運而生,提倡三民主義以救中|國救世界。又眼見自十九世紀以來,",民族,"主義之潮流,極爲澎湃。然每爲野心者所利用,致流爲狹義的民族國家主義,造成世界上無窮之罪惡。特提倡民權","厄運,無法自拔。先知先覺之中|山先生乃應運而生,提倡三民主義以救中|國救世界。又眼見自十九世紀以來,民族主義之潮流,極爲澎湃。然每爲野心者所利用,致流爲狹義的民族國家主義,造成世界上無窮之罪惡。特提倡民權",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
13,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,4,518,"義以救中|國救世界。又眼見自十九世紀以來,民族主義之潮流,極爲澎湃。然每爲野心者所利用,致流爲狹義的",民族,"國家主義,造成世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主","義以救中|國救世界。又眼見自十九世紀以來,民族主義之潮流,極爲澎湃。然每爲野心者所利用,致流爲狹義的民族國家主義,造成世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
14,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,5,546,",極爲澎湃。然每爲野心者所利用,致流爲狹義的民族國家主義,造成世界上無窮之罪惡。特提倡民權的和民生的",民族,"主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。民族主義卽民族自決主義,其意義可分兩方",",極爲澎湃。然每爲野心者所利用,致流爲狹義的民族國家主義,造成世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。民族主義卽民族自決主義,其意義可分兩方",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
15,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,6,567,"的民族國家主義,造成世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而",民族,"主義之眞詮乃見。民族主義卽民族自決主義,其意義可分兩方","的民族國家主義,造成世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。民族主義卽民族自決主義,其意義可分兩方",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
16,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,7,577,"世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。",民族,"主義卽民族自決主義,其意義可分兩方","世界上無窮之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。民族主義卽民族自決主義,其意義可分兩方",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
17,民族,minzu,history,gaozhong-benguoshi,高中本国史,85,8,582,"之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。民族主義卽",民族,"自決主義,其意義可分兩方","之罪惡。特提倡民權的和民生的民族主義,史國本中高始將過去之誤點矯正,而民族主義之眞詮乃見。民族主義卽民族自決主義,其意義可分兩方",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
18,民族,minzu,history,gaozhong-benguoshi,高中本国史,86,1,12,面:一方面結合我們自己之,民族,",在一條戰線上抵抗外來民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族","面:一方面結合我們自己之民族,在一條戰線上抵抗外來民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
19,民族,minzu,history,gaozhong-benguoshi,高中本国史,86,2,25,"面:一方面結合我們自己之民族,在一條戰線上抵抗外來",民族,"之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族","面:一方面結合我們自己之民族,在一條戰線上抵抗外來民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
20,民族,minzu,history,gaozhong-benguoshi,高中本国史,86,3,38,"面:一方面結合我們自己之民族,在一條戰線上抵抗外來民族之侵略和壓迫,使中|國",民族,"完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上","面:一方面結合我們自己之民族,在一條戰線上抵抗外來民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
21,民族,minzu,history,gaozhong-benguoshi,高中本国史,86,4,62,"民族,在一條戰線上抵抗外來民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己",民族,"之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上一切被壓迫之民族共同奮鬬,使全世界共同解放,以自","民族,在一條戰線上抵抗外來民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上一切被壓迫之民族共同奮鬬,使全世界共同解放,以自",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
22,民族,minzu,history,gaozhong-benguoshi,高中本国史,86,5,75,"民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各",民族,"一律平等他方面是扶助世界上一切被壓迫之民族共同奮鬬,使全世界共同解放,以自由獨立務使全世界無有強弱大","民族之侵略和壓迫,使中|國民族完全解放,以自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上一切被壓迫之民族共同奮鬬,使全世界共同解放,以自由獨立務使全世界無有強弱大",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
23,民族,minzu,history,gaozhong-benguoshi,高中本国史,86,6,96,"自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上一切被壓迫之",民族,"共同奮鬬,使全世界共同解放,以自由獨立務使全世界無有強弱大小,共進於大同之域,是則中|山主義最後之目","自由獨立於世界。同時積極的爲自己民族之利益而奮鬬,使國內各民族一律平等他方面是扶助世界上一切被壓迫之民族共同奮鬬,使全世界共同解放,以自由獨立務使全世界無有強弱大小,共進於大同之域,是則中|山主義最後之目",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
24,民族,minzu,history,gaozhong-benguoshi,高中本国史,88,1,145,"孫|中山|上書李|鴻章,列舉何項要點?(4)孫中|山組織何項革命團?體以何種爲最有勢?力^5)過去之",民族,主義動運命革之季清有何誤?點孫中|山用何法以矯正?之(6)民族自決主義其意義可分幾方?面第二章淸季之,"孫|中山|上書李|鴻章,列舉何項要點?(4)孫中|山組織何項革命團?體以何種爲最有勢?力^5)過去之民族主義動運命革之季清有何誤?點孫中|山用何法以矯正?之(6)民族自決主義其意義可分幾方?面第二章淸季之",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
25,民族,minzu,history,gaozhong-benguoshi,高中本国史,88,2,176,命團?體以何種爲最有勢?力^5)過去之民族主義動運命革之季清有何誤?點孫中|山用何法以矯正?之(6),民族,"自決主義其意義可分幾方?面第二章淸季之革命運動淸季革命運動,分軍事暗殺兩涂。軍事運動實自淸光|緒二十","命團?體以何種爲最有勢?力^5)過去之民族主義動運命革之季清有何誤?點孫中|山用何法以矯正?之(6)民族自決主義其意義可分幾方?面第二章淸季之革命運動淸季革命運動,分軍事暗殺兩涂。軍事運動實自淸光|緒二十",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
26,民族,minzu,history,gaozhong-benguoshi,高中本国史,100,1,198,(6)奉天|藍天蔚|九月以後辛亥革命槪況表立成之國民華中與命革亥辛、(甲)意義(1)因滿族之壓迫與吾,民族,的反抗運動(2)因帝國主義的壓迫與吾民族的反抗運動馮國璋|淸軍統帥武漢之役清勝民敗黃典|民軍元帥」戰,(6)奉天|藍天蔚|九月以後辛亥革命槪況表立成之國民華中與命革亥辛、(甲)意義(1)因滿族之壓迫與吾民族的反抗運動(2)因帝國主義的壓迫與吾民族的反抗運動馮國璋|淸軍統帥武漢之役清勝民敗黃典|民軍元帥」戰,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
27,民族,minzu,history,gaozhong-benguoshi,高中本国史,100,2,218,表立成之國民華中與命革亥辛、(甲)意義(1)因滿族之壓迫與吾民族的反抗運動(2)因帝國主義的壓迫與吾,民族,的反抗運動馮國璋|淸軍統帥武漢之役清勝民敗黃典|民軍元帥」戰張勛|清軍統帥南京之役清敗民勝(乙)經過,表立成之國民華中與命革亥辛、(甲)意義(1)因滿族之壓迫與吾民族的反抗運動(2)因帝國主義的壓迫與吾民族的反抗運動馮國璋|淸軍統帥武漢之役清勝民敗黃典|民軍元帥」戰張勛|清軍統帥南京之役清敗民勝(乙)經過,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
28,民族,minzu,history,gaozhong-benguoshi,高中本国史,100,3,327,"帥」革命槪況唐紹儀|清軍代表|主君憲無效和上海會議伍廷芳|民軍代表|主共和成功(1)打倒滿洲政府,是",民族,"解放第一步。是民族主義一部分的成功(丙成績~(2)推翻數千年君主專制,是政治革命第一步,是民權主義一","帥」革命槪況唐紹儀|清軍代表|主君憲無效和上海會議伍廷芳|民軍代表|主共和成功(1)打倒滿洲政府,是民族解放第一步。是民族主義一部分的成功(丙成績~(2)推翻數千年君主專制,是政治革命第一步,是民權主義一",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
29,民族,minzu,history,gaozhong-benguoshi,高中本国史,100,4,336,"|清軍代表|主君憲無效和上海會議伍廷芳|民軍代表|主共和成功(1)打倒滿洲政府,是民族解放第一步。是",民族,"主義一部分的成功(丙成績~(2)推翻數千年君主專制,是政治革命第一步,是民權主義一部分的成功(1)不","|清軍代表|主君憲無效和上海會議伍廷芳|民軍代表|主共和成功(1)打倒滿洲政府,是民族解放第一步。是民族主義一部分的成功(丙成績~(2)推翻數千年君主專制,是政治革命第一步,是民權主義一部分的成功(1)不",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
30,民族,minzu,history,gaozhong-benguoshi,高中本国史,131,1,26,"第十章華盛頓會議與中國華盛頓自巴黎|和會後,世界弱小",民族,"皆不滿意於五強國之處置,我、國民衆尤爲憤激。之會召集議民|國十年,美|國大總統哈|定爲防止未來大戰起","第十章華盛頓會議與中國華盛頓自巴黎|和會後,世界弱小民族皆不滿意於五強國之處置,我、國民衆尤爲憤激。之會召集議民|國十年,美|國大總統哈|定爲防止未來大戰起",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
31,民族,minzu,history,gaozhong-benguoshi,高中本国史,147,1,290,"國不難立躋於大平之域。再進一步,廢除不平等條約,以四萬萬民衆共同努力於大亞|細亞主義,則東|亞諸弱小",民族,",又不難與世界強大民族立於平等之地也。惜乎段|氏不足以語此,集合一班軍閥、官僚、買辦、土豪並前|淸遺","國不難立躋於大平之域。再進一步,廢除不平等條約,以四萬萬民衆共同努力於大亞|細亞主義,則東|亞諸弱小民族,又不難與世界強大民族立於平等之地也。惜乎段|氏不足以語此,集合一班軍閥、官僚、買辦、土豪並前|淸遺",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
32,民族,minzu,history,gaozhong-benguoshi,高中本国史,147,2,301,"再進一步,廢除不平等條約,以四萬萬民衆共同努力於大亞|細亞主義,則東|亞諸弱小民族,又不難與世界強大",民族,"立於平等之地也。惜乎段|氏不足以語此,集合一班軍閥、官僚、買辦、土豪並前|淸遺孽,汲汲於善後會議之進","再進一步,廢除不平等條約,以四萬萬民衆共同努力於大亞|細亞主義,則東|亞諸弱小民族,又不難與世界強大民族立於平等之地也。惜乎段|氏不足以語此,集合一班軍閥、官僚、買辦、土豪並前|淸遺孽,汲汲於善後會議之進",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
33,民族,minzu,history,gaozhong-benguoshi,高中本国史,153,1,208,|分國際、政治、經濟三方面「槪括的(1)喚起民衆|農、工、商。學兵大聯合(2)聯合世界上以平等待我之,民族,分世界解放、世界大同二步遺|革命總理囑「(1)建國方略|分心理物質、社會三項(2)建國大綱|分軍政。,|分國際、政治、經濟三方面「槪括的(1)喚起民衆|農、工、商。學兵大聯合(2)聯合世界上以平等待我之民族分世界解放、世界大同二步遺|革命總理囑「(1)建國方略|分心理物質、社會三項(2)建國大綱|分軍政。,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
34,民族,minzu,history,gaozhong-benguoshi,高中本国史,153,2,284,國方略|分心理物質、社會三項(2)建國大綱|分軍政。訓政、憲政三期具體的(乙)方法(3)三民主義|分,民族,(民有)民權(民治)民生(民享)三項((4)第一次全國代表大會宣言((1)決定憲法(1)國民會議(2,國方略|分心理物質、社會三項(2)建國大綱|分軍政。訓政、憲政三期具體的(乙)方法(3)三民主義|分民族(民有)民權(民治)民生(民享)三項((4)第一次全國代表大會宣言((1)決定憲法(1)國民會議(2,gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
35,民族,minzu,history,gaozhong-benguoshi,高中本国史,154,1,47,"(甲)釋名|大凡一種主義,是由思想、信仰、力量三者混合而成,三民主義,就是救國主義定義「(1)",民族,"是由血統、生活、語言3宗教、風俗習慣五種力量天然進化而成((N)民族主義就是國族主義,就是國家圖發達","(甲)釋名|大凡一種主義,是由思想、信仰、力量三者混合而成,三民主義,就是救國主義定義「(1)民族是由血統、生活、語言3宗教、風俗習慣五種力量天然進化而成((N)民族主義就是國族主義,就是國家圖發達",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
36,民族,minzu,history,gaozhong-benguoshi,高中本国史,154,2,81,"民主義,就是救國主義定義「(1)民族是由血統、生活、語言3宗教、風俗習慣五種力量天然進化而成((N)",民族,"主義就是國族主義,就是國家圖發達,種族圖生存的寶貝「(1)對中國|中國民族自求解放,境內各民族一律平","民主義,就是救國主義定義「(1)民族是由血統、生活、語言3宗教、風俗習慣五種力量天然進化而成((N)民族主義就是國族主義,就是國家圖發達,種族圖生存的寶貝「(1)對中國|中國民族自求解放,境內各民族一律平",gaozhong-benguoshi_reader-pages-1-254_ocr-json-extracted.txt,https://hgfagb180a66d006b4300sfxx9nbuf6u9f60vugacx.libproxy.ruc.edu.cn/introduceBook/02902d70-c64a-4912-922e-32ceb176969f
